codprod,descricao,categoria,descricao_manual,updated_at
16919,CABO CFTV CAT6 3M LE-312,,,
14227,"CABO COAXIAL 100M RF 0,4/2,5 DBL 100M BR",,,
17178,"CABO COAXIAL 100M RF 0,4/2,5 DBL 100M PT",,,
12218,CABO COM CONECTOR DBP E ESPELHO 30CM D-C,,,
14228,CABO COMUN LAN 4 P CAT5E CX 305M PR,,,
14229,CABO COMUN LAN 4 P CAT6  CX 305M AZ,,,
14231,CABO COMUN LAN 4 P CAT6  CX 305M BR,,,
14235,CABO COMUN LAN 4P CAT5E CMCX 305M AZ,,,
14234,CABO COMUN LAN 4P CAT5E CMCX 305M BR,,,
18946,CABO COMUN LAN 4P CAT5E DVBL 305M PT,,,
14687,CABO DADOS CONECTORES USB X USB D-USB01,,,
15686,CABO DADOS CONECTORES USB X USB D-USB02,,,
14351,"CABO DE ALARME 4PX0,5 DVBL 300M PT",,,
12214,CABO DE DADOS E ENERGIA MOLEX X SATA 45S,,,
9967,CABO DE DADOS IOS 60CM 4.8A KAP-307-5G K,,,
18644,CABO DE DADOS IPHONE LE-841P,,,
18645,CABO DE DADOS MICRO USB LE-841V-2,,,
18103,CABO DE DADOS TYPE-C TURBO 1.2M TC-210C,,,
18656,CABO DE FORCA LE-22,,,
8747,"CABO DE FORCA NORMA NOVA COM INMETRO 1,2",,,
18657,CABO DE FORCA PARA COMPUTADOR 1.5M LE-25,,,
13982,"CABO DE FORCA TRIPOLAR ""MICKEY""",,,
7226,"CABO DE IMPRESSORA USB 2.0  1,8M COM FIL",,,
5391,CABO DE IMPRESSORA USB 2.0  3M COM FILTR,,,
6660,CABO DE IMPRESSORA USB 2.0  5M COM FILTR,,,
13188,CABO DE REDE LAN 4P CAT5E CX 305M BRANCO,,,
14024,CABO DE REDE LAN EXPERT 4 PARES C/ 100M,,,
13954,CABO DE REDE LAN EXPERT 4 PARES C/ 305M,,,
17136,CABO DE TIPO-C 65W 1.2M TC-301CC,,,
14683,CABO DE VIDEO VGA X VGA 10M D-5002,,,
18104,CABO DISPLAYPORT P/HDMI 3M MCB-022,,,
8448,CABO DISPLAYPORT PARA VGA,,,
